Variables,Important
aci_score,0
aft_audio_inval_scan_retl_amt,0
aft_audio_inval_scan_unt_cnt,0
aft_intrvntn_inval_scan_retl_amt,0
aft_intrvntn_inval_scan_unt_cnt,0
attr_rt,1
auto_kr_cnt,0
avg_inv_turns,1
avg_osha_rt,0
avg_tenure,1
avg_wage,0
bodfs_can_cnt,1
bodfs_can_pct,0
bodfs_ord_cnt,0
bodfs_rtn_cnt,0
bodfs_rtn_pct,1
bopis_can_cnt,1
bopis_can_pct,1
bopis_ord_cnt,0
bopis_rtn_cnt,0
bopis_rtn_pct,1
boris_rtn_retl_amt,0
boris_rtn_retl_pct,1
boris_rtn_unt_qty,0
boss_can_cnt,0
boss_can_pct,1
boss_ord_cnt,0
boss_rtn_cnt,0
boss_rtn_pct,1
cap_index,0
cash_pen,0
clear_inv_pct,1
cull_mkdn_rt,1
cust_sat_rt,1
cycle_length,1
d90_cash_vs_main,0
d90_cash_vs_total,0
d90_sco_vs_main,0
d90_sco_vs_total,0
date_snap,0
dc_dmg_rt,1
emp_pkg_retl_amt,0
emp_pkg_unt_qty,1
exp_buy_back,0
ext_cnt,0
ext_val,0
FET_FLG,0
fyfw_prd_bgn,0
fyfw_prd_end,1
gen_sku_rt,1
int_cnt,0
int_val,0
inv_cnt,0
inval_sls_intrvntn_rt,0
inval_unt_intrvntn_rt,0
key_sku_rt,1
known_theft_cnt,0
known_theft_val,0
lowes_cnt,0
lowes_flag,0
LU_FLG,0
menards_cnt,0
menards_flag,0
merch_recov_cnt,0
merch_recov_val,0
mkup_rt,0
neg_adj_freq,1
neg_oh_retl_amt,1
neg_oh_unt_qty,0
net_adj_freq,1
net_inv_cnt_adj_retl_amt,1
net_inv_cnt_adj_unt_qty,0
net_oh_retl_amt,1
net_oh_unt_qty,0
net_sls_amt,1
nrr_retl_amt,1
nrr_unt_qty,1
online_sat_voc_den,0
online_sat_voc_num,0
online_sat_voc_pct,1
ops_net_oh_retl_amt,1
ops_net_oh_unt_qty,1
pc_rsn_24_rt,1
pc_rsn_25_rt,1
pc_rsn_27_rt,0
port_pwr_net_adj_freq,1
port_pwr_net_oh_retl_amt,1
port_pwr_net_oh_unt_qty,1
pos_recov_cnt,0
pos_recov_val,0
promo_rt,0
pt_ratio,1
qty_key_rt,0
quick_term_rt,0
rdtag_rt,0
rgn_nm,0
risk_avt_cnt,0
risk_avt_val,0
rsn_01_rt,1
rsn_02_rt,0
rsn_06_rt,1
rsn_09_rt,1
rsn_12_rt,0
rsn_15_rt,1
rsn_18_rt,1
rsn_22_rt,1
rsn_23_rt,1
rsn_24_rt,1
rsn_25_rt,0
rsn_30_rt,1
rsn_33_rt,1
rsn_40_rt,1
rsn_41_rt,1
rsn_48_rt,0
rsn_49_rt,0
rtn_amt_rt,1
rtn_trans_rt,1
rtv_crt_retl,0
rtv_del_retl,0
rural,0
sco_pen,0
shrink_rate,1
state,0
STR_ALIAS,0
str_dmg_rt,0
str_fet_wk_cnt,0
str_use_rt,1
suburban,1
theft_net_oh_retl_amt,1
theft_net_oh_unt_qty,1
tot_inval_scan_retl_amt,0
tot_inval_scan_retl_pct,1
tot_inval_scan_unt_cnt,0
ty_inv_sls,1
ty_net_shrink,0
urban,1
us_unemployment_rate,1
us_unemployment_rate_16_24,0
weekly_sales_amt,1
weekly_shrink_amount,0
yr_inv_turns,1
zip_code,0
