"id","sid","default_state","default_city","default_type","zip_code"
1,1,"AL","ABBEVILLE","STANDARD","36310"
2,1,"AL","ABERNANT","PO BOX","35440"
3,1,"AL","ADAMSVILLE","STANDARD","35005"
4,1,"AL","ADDISON","STANDARD","35540"
5,1,"AL","ADGER","STANDARD","35006"
6,1,"AL","AKRON","STANDARD","35441"
7,1,"AL","ALABASTER","STANDARD","35007"
8,1,"AL","ALABASTER","STANDARD","35114"
9,1,"AL","ALBERTA","STANDARD","36720"
10,1,"AL","ALBERTVILLE","STANDARD","35950"
11,1,"AL","ALBERTVILLE","STANDARD","35951"
12,1,"AL","ALEXANDER CITY","STANDARD","35010"
13,1,"AL","ALEXANDER CITY","PO BOX","35011"
14,1,"AL","ALEXANDRIA","STANDARD","36250"
15,1,"AL","ALICEVILLE","STANDARD","35442"
16,1,"AL","ALLGOOD","PO BOX","35013"
17,1,"AL","ALPINE","STANDARD","35014"
18,1,"AL","ALTON","PO BOX","35015"
19,1,"AL","ALTOONA","STANDARD","35952"
20,1,"AL","ANDALUSIA","STANDARD","36420"
21,1,"AL","ANDALUSIA","STANDARD","36421"
22,1,"AL","ANDERSON","STANDARD","35610"
23,1,"AL","ANNISTON","STANDARD","36201"
24,1,"AL","ANNISTON","PO BOX","36202"
25,1,"AL","ANNISTON","PO BOX","36204"
26,1,"AL","ANNISTON","STANDARD","36205"
27,1,"AL","ANNISTON","STANDARD","36206"
28,1,"AL","ANNISTON","STANDARD","36207"
29,1,"AL","ARAB","STANDARD","35016"
30,1,"AL","ARDMORE","STANDARD","35739"
31,1,"AL","ARITON","STANDARD","36311"
32,1,"AL","ARLEY","STANDARD","35541"
33,1,"AL","ARLINGTON","STANDARD","36722"
34,1,"AL","ASHFORD","STANDARD","36312"
35,1,"AL","ASHLAND","STANDARD","36251"
36,1,"AL","ASHVILLE","STANDARD","35953"
37,1,"AL","ATHENS","STANDARD","35611"
38,1,"AL","ATHENS","PO BOX","35612"
39,1,"AL","ATHENS","STANDARD","35613"
40,1,"AL","ATHENS","STANDARD","35614"
41,1,"AL","ATMORE","STANDARD","36502"
42,1,"AL","ATMORE","PO BOX","36503"
43,1,"AL","ATMORE","PO BOX","36504"
44,1,"AL","ATTALLA","STANDARD","35954"
45,1,"AL","AUBURN","STANDARD","36830"
46,1,"AL","AUBURN","PO BOX","36831"
47,1,"AL","AUBURN","STANDARD","36832"
48,1,"AL","AUBURN UNIVERSITY","UNIQUE","36849"
49,1,"AL","AUTAUGAVILLE","STANDARD","36003"
50,1,"AL","AXIS","STANDARD","36505"
51,1,"AL","BAILEYTON","STANDARD","35019"
52,1,"AL","BANKS","STANDARD","36005"
53,1,"AL","BANKSTON","STANDARD","35542"
54,1,"AL","BAY MINETTE","STANDARD","36507"
55,1,"AL","BAYOU LA BATRE","STANDARD","36509"
56,1,"AL","BEAR CREEK","STANDARD","35543"
57,1,"AL","BEATRICE","STANDARD","36425"
58,1,"AL","BEAVERTON","STANDARD","35544"
59,1,"AL","BELK","PO BOX","35545"
60,1,"AL","BELLAMY","PO BOX","36901"
61,1,"AL","BELLE MINA","PO BOX","35615"
62,1,"AL","BELLWOOD","PO BOX","36313"
63,1,"AL","BERRY","STANDARD","35546"
64,1,"AL","BESSEMER","STANDARD","35020"
65,1,"AL","BESSEMER","PO BOX","35021"
66,1,"AL","BESSEMER","STANDARD","35022"
67,1,"AL","BESSEMER","STANDARD","35023"
68,1,"AL","BILLINGSLEY","STANDARD","36006"
69,1,"AL","BIRMINGHAM","PO BOX","35201"
70,1,"AL","BIRMINGHAM","PO BOX","35202"
71,1,"AL","BIRMINGHAM","STANDARD","35203"
72,1,"AL","BIRMINGHAM","STANDARD","35204"
73,1,"AL","BIRMINGHAM","STANDARD","35205"
74,1,"AL","BIRMINGHAM","STANDARD","35206"
75,1,"AL","BIRMINGHAM","STANDARD","35207"
76,1,"AL","BIRMINGHAM","STANDARD","35208"
77,1,"AL","BIRMINGHAM","STANDARD","35209"
78,1,"AL","BIRMINGHAM","STANDARD","35210"
79,1,"AL","BIRMINGHAM","STANDARD","35211"
80,1,"AL","BIRMINGHAM","STANDARD","35212"
81,1,"AL","BIRMINGHAM","STANDARD","35213"
82,1,"AL","BIRMINGHAM","STANDARD","35214"
83,1,"AL","BIRMINGHAM","STANDARD","35215"
84,1,"AL","BIRMINGHAM","STANDARD","35216"
85,1,"AL","BIRMINGHAM","STANDARD","35217"
86,1,"AL","BIRMINGHAM","STANDARD","35218"
87,1,"AL","BIRMINGHAM","PO BOX","35219"
88,1,"AL","BIRMINGHAM","PO BOX","35220"
89,1,"AL","BIRMINGHAM","STANDARD","35221"
90,1,"AL","BIRMINGHAM","STANDARD","35222"
91,1,"AL","BIRMINGHAM","STANDARD","35223"
92,1,"AL","BIRMINGHAM","STANDARD","35224"
93,1,"AL","BIRMINGHAM","STANDARD","35226"
94,1,"AL","BIRMINGHAM","STANDARD","35228"
95,1,"AL","BIRMINGHAM","UNIQUE","35229"
96,1,"AL","BIRMINGHAM","PO BOX","35231"
97,1,"AL","BIRMINGHAM","PO BOX","35232"
98,1,"AL","BIRMINGHAM","STANDARD","35233"
99,1,"AL","BIRMINGHAM","STANDARD","35234"
100,1,"AL","BIRMINGHAM","STANDARD","35235"
101,1,"AL","BIRMINGHAM","PO BOX","35236"
102,1,"AL","BIRMINGHAM","PO BOX","35237"
103,1,"AL","BIRMINGHAM","PO BOX","35238"
104,1,"AL","BIRMINGHAM","STANDARD","35242"
105,1,"AL","BIRMINGHAM","STANDARD","35243"
106,1,"AL","BIRMINGHAM","STANDARD","35244"
107,1,"AL","BIRMINGHAM","UNIQUE","35246"
108,1,"AL","BIRMINGHAM","UNIQUE","35249"
109,1,"AL","BIRMINGHAM","PO BOX","35253"
110,1,"AL","BIRMINGHAM","UNIQUE","35254"
111,1,"AL","BIRMINGHAM","PO BOX","35255"
112,1,"AL","BIRMINGHAM","PO BOX","35259"
113,1,"AL","BIRMINGHAM","PO BOX","35260"
114,1,"AL","BIRMINGHAM","PO BOX","35261"
115,1,"AL","BIRMINGHAM","PO BOX","35266"
116,1,"AL","BIRMINGHAM","UNIQUE","35270"
117,1,"AL","BIRMINGHAM","UNIQUE","35282"
118,1,"AL","BIRMINGHAM","PO BOX","35283"
119,1,"AL","BIRMINGHAM","UNIQUE","35285"
120,1,"AL","BIRMINGHAM","UNIQUE","35287"
121,1,"AL","BIRMINGHAM","UNIQUE","35288"
122,1,"AL","BIRMINGHAM","UNIQUE","35290"
123,1,"AL","BIRMINGHAM","UNIQUE","35291"
124,1,"AL","BIRMINGHAM","UNIQUE","35292"
125,1,"AL","BIRMINGHAM","UNIQUE","35293"
126,1,"AL","BIRMINGHAM","UNIQUE","35294"
127,1,"AL","BIRMINGHAM","UNIQUE","35295"
128,1,"AL","BIRMINGHAM","UNIQUE","35296"
129,1,"AL","BIRMINGHAM","UNIQUE","35297"
130,1,"AL","BIRMINGHAM","UNIQUE","35298"
131,1,"AL","BLACK","STANDARD","36314"
132,1,"AL","BLOUNTSVILLE","STANDARD","35031"
133,1,"AL","BOAZ","STANDARD","35956"
